gair,nifer
yn,494961
y,415562
a,258450
i,235224
yr,182185
o,180120
ei,136619
r,129856
ac,105142
ar,81587
mae,80784
eu,60496
oedd,57294
fod,52916
ond,51433
un,49039
am,48383
wedi,44917
fel,42029
mewn,40341
gan,37398
hyn,36896
nid,35041
â,31306
ni,28655
na,28425
sydd,26927
yw,25693
hwn,25003
hyny,24539
w,23106
ein,22109
er,21295
ef,20566
rhai,19648
neu,19642
at,18819
cael,17914
bod,17150
wrth,16587
nad,15838
trwy,15628
ag,14866
holl,14814
n,14715
iddo,14467
ôl,14378
ydyw,14321
mor,14291
oes,14015
u,13936
pan,13590
gyda,13476
heb,13221
duw,13154
os,12973
mai,12622
hon,12172
lle,11652
bob,11417
pa,11342
dyn,11284
hun,11102
hyd,11089
gael,10749
hefyd,10683
ydym,10493
allan,10408
byd,10087
mawr,10003
pob,9650
fath,9639
yma,9632
fy,9622
hen,9602
efe,9516
felly,9488
beth,9453
arall,9423
amser,9248
meddwl,9240
eto,9166
eraill,8987
llawer,8974
dan,8929
eglwys,8596
fe,8508
hwy,8375
iawn,8333
oddiwrth,8311
peth,7935
awr,7932
mwy,7921
dim,7845
iddynt,7823
unig,7476
byddai,7408
fwy,7389
rhyw,7207
hwnw,7163
rhaid,6953
mr,6952
bydd,6850
the,6628
dros,6430
erbyn,6428
myned,6415
mwyaf,6413
ychydig,6409
cyn,6319
fawr,6211
nag,6131
wneyd,6112
yno,6015
hi,5987
wlad,5972
pe,5951
dy,5944
natur,5923
ydoedd,5837
neb,5740
arglwydd,5733
of,5709
oll,5706
hunain,5636
pryd,5521
gwneyd,5512
ysbryd,5465
wir,5414
bu,5368
dynion,5364
lawer,5323
hono,5266
ddim,5234
feddwl,5200
gwaith,5199
gair,5170
newydd,5136
tra,5094
pethau,5074
rhwng,5040
enw,5018
ryw,5017
bobl,4995
rai,4964
cyntaf,4955
ffordd,4884
hanes,4879
dyfod,4841
dduw,4829
chwi,4790
nis,4768
maent,4751
buasai,4740
c,4734
arno,4718
âg,4688
sef,4679
rhoddi,4656
bynag,4604
ddaear,4576
sylw,4525
yna,4521
gilydd,4495
rhan,4475
oeddynt,4406
honynt,4401
dyma,4392
eich,4376
naill,4361
fyned,4349
waith,4337
mi,4305
roddi,4304
llall,4296
ddau,4291
modd,4286
oblegid,4273
fodd,4154
ai,4150
achos,4138
ganddo,4126
nes,4120
m,4113
da,4110
aeth,4089
edrych,4070
ynddo,4046
golwg,4042
gall,3995
megys,3983
dydd,3962
le,3951
ddyn,3914
gwirionedd,3898
ydynt,3882
ben,3866
gellir,3848
hollol,3846
flwyddyn,3827
d,3818
drwy,3812
hunan,3712
fyny,3708
ymlaen,3681
dda,3675
llyfr,3663
unrhyw,3659
byth,3643
dwyn,3617
genym,3613
cymru,3604
ran,3576
gweled,3543
weled,3524
canys,3497
iesu,3423
rhag,3409
efengyl,3404
bywyd,3404
fydd,3392
hwynt,3387
dr,3371
erioed,3365
dra,3342
ddigon,3339
iaith,3331
wyf,3330
bron,3313
and,3297
amryw,3291
byw,3286
eiddo,3278
gwir,3274
blaen,3248
gallu,3208
nac,3187
fu,3180
fyddai,3145
ail,3104
gyntaf,3102
crist,3100
s,3075
neillduol,3069
bethau,3052
ystyr,3034
herwydd,3013
enaid,3013
tua,3010
unwaith,2994
mwyn,2975
geiriau,2964
rhy,2961
yntau,2955
arnynt,2948
eì,2864
fwyaf,2863
cyfryw,2853
iddi,2851
ìi,2850
john,2842
tuag,2829
ddynion,2800
daeth,2784
amlwg,2778
ffydd,2761
allai,2740
ym,2724
ba,2721
brenin,2706
wneuthur,2699
dano,2699
llaw,2697
naturiol,2696
cymeryd,2688
dangos,2684
gwlad,2659
gymaint,2653
llawn,2637
agos,2632
debyg,2606
lawr,2589
weithiau,2588
flaen,2579
diwedd,2562
ddwyn,2559
tu,2550
gymeryd,2540
galon,2534
nas,2515
crefydd,2507
uchel,2498
oddiar,2496
ymddangos,2492
sicr,2484
gwahanol,2469
bibl,2468
cwbl,2463
ddwy,2460
olaf,2442
gosod,2441
cyffredin,2440
goreu,2439
ddyfod,2429
gallwn,2417
wyneb,2398
ger,2397
gyffredin,2381
llywodraeth,2361
grist,2356
dywed,2354
addysg,2351
uwch,2339
amgylchiadau,2337
dyweyd,2336
ti,2336
law,2332
nefoedd,2329
ymaith,2322
nerth,2318
pen,2312
ynghyd,2296
gŵr,2283
deall,2279
fi,2269
eithr,2264
fewn,2237
ganddynt,2218
hynod,2213
fywyd,2211
dull,2207
hir,2205
dyna,2200
dau,2188
sefyll,2176
tir,2171
sefyllfa,2149
nifer,2146
cynnwys,2134
awdurdod,2134
awdwr,2128
gwneuthur,2127
gyd,2110
môr,2107
all,2104
gwybodaeth,2099
pwy,2098
aros,2097
bresennol,2096
plant,2084
pawb,2084
dyddiau,2083
in,2083
dechreu,2080
amcan,2079
genedl,2068
cymry,2063
mab,2056
th,2055
farw,2047
gydag,2045
di,2036
sy,2033
ynddynt,2027
ysgol,2016
wahanol,2010
grefydd,1998
haul,1985
fyw,1982
eglur,1979
chan,1968
ysgrifenu,1961
crefyddol,1957
hanner,1948
drachefn,1944
gallai,1944
gystal,1940
prif,1940
deyrnas,1937
cymaint,1929
fynych,1924
osod,1924
parch,1923
ymhlith,1919
bryd,1910
lloegr,1896
ato,1894
to,1894
gwbl,1889
egwyddorion,1880
allu,1878
gwybod,1872
athrawiaeth,1871
ys,1868
ystyried,1866
jones,1865
ì,1863
fuan,1857
ynddi,1857
heibio,1852
ffurf,1852
wybodaeth,1846
medd,1840
ddyweyd,1839
man,1835
dad,1831
ymddengys,1827
meddai,1826
lled,1825
nos,1817
derbyn,1817
dywedyd,1816
iad,1814
ymhob,1806
cadw,1803
well,1801
dal,1799
mlynedd,1799
darllen,1795
olwg,1793
pwnc,1790
dosbarth,1786
gadw,1780
enwedig,1779
dwyfol,1776
dywedir,1775
arfer,1773
ateb,1771
uchod,1764
hawdd,1763
fan,1757
an,1754
drwg,1751
phob,1748
perthyn,1745
teimlo,1744
ch,1741
rhywbeth,1740
gadael,1739
sanctaidd,1726
rheswm,1722
cysylltiad,1720
digon,1717
galw,1715
gynt,1713
mawrion,1711
nef,1709
ysbrydol,1708
bawb,1703
tŷ,1700
bur,1694
eisieu,1685
arian,1683
meddu,1681
ddangos,1674
by,1665
ynghylch,1656
ddeddf,1652
oesoedd,1652
ion,1649
cyfan,1648
hytrach,1629
gwell,1629
anghenrheidiol,1627
dir,1627
athroniaeth,1626
iaeth,1624
ffaith,1621
oni,1618
thomas,1616
mater,1613
barod,1613
llai,1607
tad,1606
heblaw,1604
syr,1600
rhydd,1600
ieuanc,1595
cafodd,1593
math,1589
tro,1586
ddywedyd,1585
ochr,1578
swydd,1577
enwog,1572
ddarllen,1567
marw,1560
profi,1554
egwyddor,1545
wnaeth,1544
blaid,1544
siarad,1543
helaeth,1537
braidd,1535
bosibl,1533
nôd,1533
barn,1524
deg,1521
fyddo,1520
paul,1520
syniadau,1518
ddeall,1516
e,1515
fuasai,1513
aml,1512
cyrhaedd,1509
byddo,1503
ceir,1503
l,1500
corff,1494
meddyliau,1493
gyffredinol,1490
troi,1485
fab,1484
esgob,1481
bellach,1481
william,1480
pha,1478
dysgu,1477
ewyllys,1477
uchaf,1467
brif,1466
gellid,1466
credu,1464
nghymru,1463
nesaf,1463
bychan,1456
werth,1456
farn,1453
air,1453
ffurfio,1449
cyfarfod,1448
wybod,1435
dafydd,1430
raid,1429
bardd,1429
dderbyn,1428
onid,1418
anhawdd,1406
sir,1404
llyfrau,1404
rhyddid,1396
ennill,1396
cyffredinol,1394
rhufain,1392
hawl,1392
elwir,1391
chwilio,1378
adael,1376
diweddaf,1376
danynt,1365
oed,1363
mil,1362
t,1358
p,1355
pwysig,1352
nod,1350
angeu,1348
canlynol,1344
eisoes,1344
pechod,1342
dyben,1341
williams,1339
sylwi,1336
can,1335
eiriau,1335
phan,1333
eglwysig,1333
goleuni,1329
syniad,1322
peri,1321
wele,1318
heddyw,1317
rhyfedd,1312
gredu,1311
arni,1310
wraig,1304
presennol,1304
ynte,1301
thrwy,1301
afon,1300
dwy,1299
apostol,1299
son,1295
eglwysi,1294
ydych,1290
codi,1289
ddydd,1286
drefn,1284
gwahaniaeth,1279
darllenydd,1278
bell,1277
raddau,1275
droi,1273
geisio,1269
cariad,1267
ddaeth,1261
dynol,1248
dwfr,1245
hugain,1245
eithaf,1242
groes,1240
mhob,1239
undeb,1233
dylanwad,1231
ŵr,1230
fyd,1226
ydd,1223
llundain,1222
ceisio,1221
dysgwyl,1220
blant,1220
cenedl,1218
dŷ,1216
moses,1215
ysgrythyrau,1213
cawn,1212
amgylchiad,1211
tri,1211
diweddar,1209
amgylch,1207
awyr,1204
darllenwyr,1203
cyf,1202
gwelir,1200
israel,1197
wirionedd,1197
llwyr,1195
b,1194
ddinas,1190
bregethu,1189
iadau,1187
ddeg,1180
teimlad,1180
pregethu,1177
wel,1174
mysg,1173
cyffelyb,1172
prawf,1171
gymdeithas,1165
perthynas,1164
alw,1163
gymraeg,1158
f,1153
deddfau,1153
brofi,1152
ieuainc,1151
ddiweddar,1148
gwaed,1147
pobl,1146
beidio,1143
ofn,1136
dref,1135
gwasanaeth,1133
ddysgu,1133
gwnaeth,1133
ymysg,1128
weinidogaeth,1123
gogoniant,1121
llafur,1120
dylai,1119
oddeutu,1115
hwythau,1115
senedd,1113
gwel,1109
cant,1107
lyfrau,1106
syrthio,1104
teulu,1104
pur,1099
paham,1099
adeg,1097
nghanol,1095
uwchlaw,1094
gofyn,1092
iau,1091
ganrif,1090
gyfraith,1090
ddrwg,1089
ugain,1089
lai,1088
gyrhaedd,1087
canlyniad,1085
rhyfel,1084
wna,1082
leiaf,1082
ysgolion,1079
rhoi,1078
ioan,1075
allanol,1075
ninnau,1074
symud,1074
ellir,1072
sylwadau,1069
farwolaeth,1067
ebe,1066
daw,1066
dod,1064
ofer,1059
cyfrif,1058
ystod,1057
heddwch,1057
nemawr,1056
ddylanwad,1055
gylch,1055
gras,1052
ymhellach,1052
calon,1051
ambell,1050
tân,1050
ffeithiau,1050
priodol,1049
tebyg,1048
dywedai,1048
wrtho,1045
anrhydedd,1045
america,1044
lyfr,1039
wasanaeth,1038
dilyn,1032
ffrainc,1030
gweinidog,1028
aberth,1027
deimlo,1026
du,1026
foddion,1026
wales,1025
anmhosibl,1024
gallasai,1023
cymreig,1020
oddi,1020
ïe,1020
dichon,1018
arbenig,1011
ddaw,1011
fam,1011
j,1011
arwain,1010
rydd,1009
maes,1007
mis,1007
gweithio,1002
enwau,1002
owen,1000
sefydlu,1000
fesur,999
ewrop,997
moddion,996
effeithiol,995
